Question,Answer
How many total pre-license hours are required for a salesperson?,120 hours.
How many hours of Ohio Real Estate Law are required pre-license?,40 hours.
How many hours of Principles & Practices are required pre-license?,40 hours.
How many hours of Finance are required pre-license?,20 hours.
How many hours of Appraisal are required pre-license?,20 hours.
How long is a real estate license valid in Ohio?,3 years.
When does a license expire?,On the licensee’s birthday.
How many continuing education hours are required per renewal cycle?,30 hours.
How many Core Law hours are required within the 30 CE hours?,9 hours.
How many Core Law hours must be completed in the final year?,3 hours.
How many post-license education hours are required for new salespersons?,20 hours.
Within how long must post-license education be completed?,Within the first year after licensure.
How much active experience is required before applying for a broker license?,2 years.
How many education hours are required for broker licensure?,120 hours.
When must earnest money be deposited?,By the next banking day after receipt.
How long must brokers retain transaction records?,3 years.
How often must trust accounts be reconciled?,Monthly.
Within how many days must a land installment contract be recorded?,20 days.
What is the maximum civil penalty per violation?,Up to $2,500 per violation.
How many years is a disciplinary record retained as part of required record keeping?,At least 3 years for transaction-related records.
How many dwelling units trigger the Ohio Residential Property Disclosure Form?,1–4 units.
What year triggers federal lead-based paint disclosure requirements?,Pre-1978 construction.
How many renewal cycles occur in 9 years?,3 cycles.
How many Core Law hours are required per 3-year cycle?,9 hours.
How many total CE hours would a licensee complete over 9 years?,90 hours.
How many years of experience are required before broker application?,2 years.
How many banking days does a broker have to deposit trust funds?,One banking day.
How often must a license be renewed?,Every 3 years.
How many parties must consent in writing for dual agency?,Both parties.
How many spouses must sign to release dower rights?,Both spouses.
